time,latitude,longitude,depth,mag
2016-05-02T10:36:57.300Z,47.07,0.47,2.0,4.2
2016-05-02T11:38:33.700Z,39.09,21.94,20.0,4.3
2016-05-03T01:45:50.800Z,38.9,21.73,9.0,4.4
2016-05-04T08:40:45.980Z,38.9013,21.758,21.2,4.5
2016-05-08T01:45:30.390Z,44.9427,15.2805,6.28,3.3
2016-05-09T17:29:19.600Z,38.8475,23.6185,13.1,3.9
2016-05-13T23:22:15.610Z,35.3974,31.6214,10.0,4.0
2016-05-15T21:27:30.280Z,36.6975,22.9068,5.7,4.3
2016-05-15T21:32:42.550Z,36.6373,22.7809,10.0,4.4
2016-05-16T07:28:57.000Z,38.196,22.553,10.1,4.4
2016-05-16T09:19:05.010Z,36.3384,3.4758,13.16,4.7
2016-05-20T08:45:33.700Z,39.26,22.929,9.5,4.1
2016-05-20T19:49:44.860Z,40.2356,19.7003,13.9,4.3
2016-05-20T20:00:19.840Z,38.6367,24.4644,10.0,4.3
2016-05-20T20:16:50.930Z,38.0055,21.6215,10.0,4.0
2016-05-21T16:05:18.930Z,38.2069,21.8494,10.0,4.6
2016-05-21T16:33:10.070Z,41.2581,21.02,23.88,4.6
2016-05-21T16:41:29.880Z,41.2253,20.9752,15.21,4.7
2016-05-21T17:16:37.910Z,41.2111,21.0831,13.17,4.2
2016-05-22T06:25:26.980Z,38.6271,22.8968,15.62,4.0
2016-05-22T08:58:32.180Z,41.6575,23.2547,10.0,4.3
2016-05-25T10:00:13.100Z,37.9772,21.5622,23.5,4.2
2016-05-25T22:10:28.240Z,36.81,15.79,19.0,4.1
2016-05-28T21:00:10.900Z,37.57,23.57,16.0,4.1
2016-05-28T23:54:53.380Z,36.4313,3.5166,11.43,5.4
2016-05-29T00:00:02.170Z,36.3224,3.5907,10.0,4.5
2016-05-29T05:23:10.490Z,36.2418,3.5018,10.0,4.2
2016-05-29T23:05:47.060Z,36.381,3.4756,10.0,4.3
2016-05-30T19:29:01.990Z,71.7392,-2.0594,10.0,4.4
2016-05-30T20:24:20.470Z,42.71,11.96,15.0,4.4
2016-05-31T17:35:14.860Z,36.4823,3.5033,13.13,4.8
